ds,holiday
2015-01-01, New Years Day
2015-01-02,Mawlid alNabi
2015-01-06, Army Day
2015-03-21, Eid Norooz
2015-05-01, Labour Day
2015-07-14, Republic Day
2015-07-17, Eid AI Fitr Holiday
2015-07-18, Eid AI Fitr Holiday
2015-07-19, Eid AI Fitr Holiday
2015-09-24, Eid Al-Adha Holiday
2015-09-25, Eid Al-Adha Holiday
2015-09-26, Eid Al-Adha Holiday
2015-09-27, Eid Al-Adha Holiday
2015-10-03, Iraqi Independence Day
2015-10-14, islamic New Year
2015-10-23, Ashura
2015-12-23, Mawlid al-Nabi
2015-12-25, Christmas         
2016-01-01, New Years Day
2016-01-06, Army Day
2016-03-21, Eid Norooz
2016-03-01, Labour Day
2016-07-07, Eid Al Fitr
2016-07-08, Eid Al Fitr Holiday
2016-07-09, Eid Al Fitr Holiday
2016-07-14, Republic Day
2016-07-20, Public Holiday
2016-07-21, Public Holiday
2016-09-11, Eid Al-Adha
2016-09-12, Eid Al-Adha Holiday
2016-09-13, Eid Al-Adha Holiday
2016-09-14, Eid Al-Adha Holiday
2016-10-02, Islamic New Year
2016-10-03, Iraqi Independence Day
2016-10-11, Ashura
2016-12-12, Mawlid al-Nabi
2016-12-25, Christmas
2017-01-01, New Years Day
2017-01-06, Army Day
2017-03-21, Eid Norooz
2017-05-01, Labour Day
2017-06-25, Eid Al Fitr
2017-06-26, Eid Al Fitr Holiday
2017-06-27, Eid Al Fitr Holiday
2017-07-14, Republic Day
2017-08-10, Public Holiday
2017-09-01, Eid Al-Adha
2017-09-02, Eid Al-Adha Holiday
2017-09-03, Eid Al-Adha Holiday
2017-09-04, Eid Al-Adha Holiday
2017-09-22, Islamic New Year
2017-09-30, Ashura
2017-10-03, Iraqi Independence Day
2017-12-01, Mawlid al-Nabi
2017-12-10, Victory Day
2017-12-25, Christmas
2017-12-31, New Year's Eve
